timestamp_raw,timestamp_iso,price,volume
Aug 10 2016 01: +0,,6.187,6887
Aug 11 2016 01: +0,,6.321,5871
Aug 12 2016 01: +0,,6.386,5426
Aug 13 2016 01: +0,,6.662,5923
Aug 14 2016 01: +0,,6.221,5865
Aug 15 2016 01: +0,,6.296,5051
Aug 16 2016 01: +0,,6.257,5333
Aug 17 2016 01: +0,,6.042,4981
Aug 18 2016 01: +0,,5.909,4764
Aug 19 2016 01: +0,,5.622,6398
Aug 20 2016 01: +0,,5.726,7513
Aug 21 2016 01: +0,,5.852,5927
Aug 22 2016 01: +0,,5.401,5973
Aug 23 2016 01: +0,,5.503,5509
Aug 24 2016 01: +0,,5.6,5808
Aug 25 2016 01: +0,,5.646,6889
Aug 26 2016 01: +0,,5.538,5994
Aug 27 2016 01: +0,,5.75,5790
Aug 28 2016 01: +0,,5.469,6845
Aug 29 2016 01: +0,,5.289,6430
Aug 30 2016 01: +0,,5.406,5840
Aug 31 2016 01: +0,,5.277,4991
Sep 01 2016 01: +0,,5.286,6084
Sep 02 2016 01: +0,,5.099,5928
Sep 03 2016 01: +0,,5.19,7782
Sep 04 2016 01: +0,,5.1,5854
Sep 05 2016 01: +0,,5.175,5752
Sep 06 2016 01: +0,,5.203,5658
Sep 07 2016 01: +0,,4.818,4987
Sep 08 2016 01: +0,,4.634,4770
Sep 09 2016 01: +0,,5.019,5231
Sep 10 2016 01: +0,,5.078,6470
Sep 11 2016 01: +0,,4.637,5884
Sep 12 2016 01: +0,,4.576,5061
Sep 13 2016 01: +0,,4.743,4248
Sep 14 2016 01: +0,,4.55,4192
Sep 15 2016 01: +0,,4.756,4636
Sep 16 2016 01: +0,,4.994,4945
Sep 17 2016 01: +0,,4.652,5309
Sep 18 2016 01: +0,,4.612,5428
Sep 19 2016 01: +0,,4.691,4844
Sep 20 2016 01: +0,,4.533,7649
Sep 21 2016 01: +0,,4.562,6343
Sep 22 2016 01: +0,,4.386,5453
Sep 23 2016 01: +0,,4.825,5957
Sep 24 2016 01: +0,,4.871,5373
Sep 25 2016 01: +0,,4.492,6440
Sep 26 2016 01: +0,,4.67,5363
Sep 27 2016 01: +0,,4.717,4787
Sep 28 2016 01: +0,,4.748,4333
Sep 29 2016 01: +0,,4.775,7316
Sep 30 2016 01: +0,,4.744,5310
Oct 01 2016 01: +0,,4.947,4969
Oct 02 2016 01: +0,,4.585,5383
